Cycle_ID,Cycle
1,C0302897 -> C0302896
2,C0021423 -> C0021424 -> C1256741 -> C1256739 -> C1135584 -> C0038545 -> C0282503 -> C0920316 -> C0021425
3,C0021423 -> C0021424 -> C1256741 -> C1256739 -> C1135584 -> C0038545 -> C0282503 -> C0920316 -> C0021425 -> C0683836
4,C1256741 -> C1256739 -> C1135584 -> C0038545 -> C0282503 -> C0920316 -> C0021425 -> C0683836 -> C0449416 -> C0439659 -> C0201814 -> C0201682 -> C0022885 -> C0086143 -> C0011900 -> C0002784
5,C1256741 -> C1256739 -> C1135584 -> C0038545 -> C0282503 -> C0920316 -> C0021425 -> C0683836 -> C0449416 -> C0439659 -> C0201814 -> C0201682 -> C0022885 -> C0086143 -> C0011900 -> C0420833 -> C0427349 -> C0037088 -> C0039058 -> C0012674
6,C0677042 -> C0012634 -> C0030660
7,C1512759 -> C1512762 -> C1254372 -> C1140168
8,C2347818 -> C0008902 -> C0021423 -> C0021424 -> C1256741 -> C1256739 -> C1135584 -> C0038545 -> C0282503 -> C0920316 -> C0021425 -> C0683836 -> C0449416 -> C0439659 -> C0201814 -> C0201682 -> C0022885 -> C0086143 -> C0011900 -> C0420833 -> C0427349 -> C0037088 -> C0677042 -> C0012634 -> C0030660 -> C1140097
9,C1256741 -> C1256739 -> C1135584 -> C0038545 -> C0282503 -> C0920316 -> C0021425 -> C0683836 -> C0449416 -> C0439659 -> C0201814 -> C0201682 -> C0022885 -> C0086143 -> C0011900 -> C0420833 -> C0427349 -> C0037088 -> C0677042 -> C0012634 -> C0030660 -> C3714634 -> C0005520 -> C2930671
10,C1140118 -> C2347818 -> C0008902 -> C0021423 -> C0021424 -> C1256741 -> C1256739 -> C1135584 -> C0038545 -> C0282503 -> C0920316 -> C0021425 -> C0683836 -> C0449416 -> C0439659 -> C0201814 -> C0201682 -> C0022885 -> C0086143 -> C0011900 -> C0420833 -> C0427349 -> C0037088 -> C0677042 -> C0012634 -> C0030660 -> C3714634 -> C0231161 -> C0231160 -> C0700205
11,C0005540 -> C0018757
12,C1256741 -> C1256739 -> C1135584 -> C0038545 -> C0282503 -> C0920316 -> C0021425 -> C0683836 -> C0449416 -> C0439659 -> C0201814 -> C0201682 -> C0022885 -> C0086143 -> C0011900 -> C0420833 -> C0427349 -> C0037088 -> C0677042 -> C0012634 -> C0030660 -> C3714634 -> C1138831 -> C0243064 -> C0005540 -> C0018757 -> C0018727 -> C0013562 -> C0018689
13,C1256741 -> C1256739 -> C1135584 -> C0038545 -> C0282503 -> C0920316 -> C0021425 -> C0683836 -> C0449416 -> C0439659 -> C0201814 -> C0201682 -> C0022885 -> C0086143 -> C0011900 -> C0420833 -> C0427349 -> C0037088 -> C0677042 -> C0012634 -> C0030660 -> C3714634 -> C1138831 -> C0243064 -> C0005540 -> C0018757 -> C0018727 -> C0023252 -> C0037406 -> C0037468 -> C0037434 -> C0003186
14,C1256741 -> C1256739 -> C1135584 -> C0038545 -> C0282503 -> C0920316 -> C0021425 -> C0683836 -> C0449416 -> C0439659 -> C0201814 -> C0201682 -> C0022885 -> C0086143 -> C0011900 -> C0420833 -> C0427349 -> C0037088 -> C0677042 -> C0012634 -> C0030660 -> C3714634 -> C1138831 -> C0243064 -> C0005540 -> C0018757 -> C0018727 -> C0023252 -> C0037406 -> C0037468 -> C0037434 -> C0004940 -> C0012623 -> C1256749
15,C0037434 -> C0004940
